Geschäftsnummer,Geschäftstyp,Urheber,Stand,Geschäftstitel,Link zur Geschäftsseite,eingereicht_am,unterzeichner1,unterzeichner2,unterzeichner3,unterzeichner4,unterzeichner5,unterzeichner6,unterzeichner7,unterzeichner8,unterzeichner9,unterzeichner10,unterzeichner11,unterzeichner12,unterzeichner13,unterzeichner14,unterzeichner15,unterzeichner16,unterzeichner17,unterzeichner18,unterzeichner19,unterzeichner20,unterzeichner21,unterzeichner22,unterzeichner23,unterzeichner24,unterzeichner25,unterzeichner26,unterzeichner27,unterzeichner28,unterzeichner29,unterzeichner30,unterzeichner31,unterzeichner32,unterzeichner33,unterzeichner34,unterzeichner35,unterzeichner36,unterzeichner37,unterzeichner38,unterzeichner39,unterzeichner40,unterzeichner41,unterzeichner42,unterzeichner43,unterzeichner44,unterzeichner45,unterzeichner46,id_Urheber,id_unterzeichner1,id_unterzeichner2,id_unterzeichner3,id_unterzeichner4,id_unterzeichner5,id_unterzeichner6,id_unterzeichner7,id_unterzeichner8,id_unterzeichner9,id_unterzeichner10,id_unterzeichner11,id_unterzeichner12,id_unterzeichner13,id_unterzeichner14,id_unterzeichner15,id_unterzeichner16,id_unterzeichner17,id_unterzeichner18,id_unterzeichner19,id_unterzeichner20,id_unterzeichner21,id_unterzeichner22,id_unterzeichner23,id_unterzeichner24,id_unterzeichner25,id_unterzeichner26,id_unterzeichner27,id_unterzeichner28,id_unterzeichner29,id_unterzeichner30,id_unterzeichner31,id_unterzeichner32,id_unterzeichner33,id_unterzeichner34,id_unterzeichner35,id_unterzeichner36,id_unterzeichner37,id_unterzeichner38,id_unterzeichner39,id_unterzeichner40,id_unterzeichner41,id_unterzeichner42,id_unterzeichner43,id_unterzeichner44,id_unterzeichner45,id_unterzeichner46,unterzeichner_ids
24.4040,Postulat,Wasserfallen Christian,Stellungnahme zum Vorstoss liegt vor,Energieinfrastrukturen langfristig und solide über den Netzzuschlagsfonds finanzieren,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244040,2024-09-26,Wasserfallen Christian,Aellen Cyril,Bläsi Thomas,Bühler Manfred,Cottier Damien,Dobler Marcel,Feller Olivier,Freymond Sylvain,Golay Roger,Graber Michael,Heimgartner Stefanie,Hübscher Martin,Imark Christian,Meier Andreas,Pahud Yvan,Reimann Lukas,Schilliger Peter,Schmid Pascal,Schneeberger Daniela,Stettler Thomas,Theiler Heinz,Vincenz-Stauffacher Susanne,Walti Beat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,210,NA,NA,271,388,278,79,473,100,427,394,451,289,439,481,172,185,488,21,491,493,361,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3571,Postulat,Storni Bruno,Stellungnahme zum Vorstoss liegt vor,Heiz– und Nebenkostenabrechnung. Mehr Transparenz und Vereinheitlichung der Abrechnung für öffentliche und private Gebäude,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243571,2024-06-11,Storni Bruno,Alijaj Islam,Andrey Gerhard,Baumann Kilian,Brenzikofer Florence,Clivaz Christophe,Dandrès Christian,de Quattro Jacqueline,Docourt Martine,Fivaz Fabien,Friedl Claudia,Giacometti Anna,Glättli Balthasar,Kälin Irène,Klopfenstein Broggini Delphine,Marti Min Li,Mettler Melanie,Pult Jon,Roth David,Schaffner Barbara,Schläfli Nina,Seiler Graf Priska,Töngi Michael,Tschopp Jean,Tuosto Brenda,Walder Nicolas,Weichelt Manuela,Zryd Andrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,420,443,371,358,424,383,389,392,NA,395,89,374,98,329,403,293,NA,378,484,418,487,304,334,459,494,422,386,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3040,Postulat,Freymond Sylvain,Überwiesen an den Bundesrat,"Solaranlagen ausserhalb der Bauzonen. Es braucht etwas mehr Flexibilität, wenn man diese Energie weiterentwickeln will!",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243040,2024-02-27,Addor Jean-Luc,Buffat Michaël,Bürgi Roman,Calame Didier,Huber Alois,Hug Roman,Knutti Thomas,Mahaim Raphaël,Nicolet Jacques,Pahud Yvan,Riem Katja,Ruch Daniel,Rüegsegger Hans Jörg,Schnyder Markus,Tuena Mauro,Wyssmann Rémy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,261,270,466,468,425,477,452,433,298,481,444,436,485,489,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4334,Postulat,de Montmollin Simone,Überwiesen an den Bundesrat,Neue Ernährungsempfehlungen. Wissenschaftliche Grundlage und vernachlässigte Aspekte,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244334,2024-12-11,de Montmollin Simone,Aellen Cyril,Balmer Bettina,Farinelli Alex,Feller Olivier,Gianini Simone,Gobet Nadine,Nantermod Philippe,Ruch Daniel,Theiler Heinz,Vietze Kris,Vincenz-Stauffacher Susanne,Wasserfallen Christian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,390,NA,NA,393,79,474,475,297,436,493,NA,361,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4313,Postulat,Paganini Nicolò,Überwiesen an den Bundesrat,Neue Ernährungsempfehlungen. Wissenschaftliche Grundlagen und vernachlässigte Aspekte,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244313,2024-12-09,Paganini Nicolò,Blunschy Dominik,Bregy Philipp Matthias,Durrer Regina,Lohr Christian,Meier Andreas,Rechsteiner Thomas,Ritter Markus,Roduit Benjamin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,333,445,340,471,14,439,414,178,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4312,Postulat,Egger Mike,Überwiesen an den Bundesrat,Neue Ernährungsempfehlungen. Wissenschaftliche Grundlagen und vernachlässigte Aspekte,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244312,2024-12-09,Egger Mike,Addor Jean-Luc,Bühler Manfred,Bürgi Roman,Fehr Düsel Nina,Fischer Benjamin,Freymond Sylvain,Gafner Andreas,Gartmann Walter,Giezendanner Benjamin,Götte Michael,Grüter Franz,Guggisberg Lars,Haab Martin,Heer Alfred,Heimgartner Stefanie,Hess Erich,Huber Alois,Hübscher Martin,Hug Roman,Imark Christian,Knutti Thomas,Kolly Nicolas,Matter Thomas,Nicolet Jacques,Page Pierre-André,Pahud Yvan,Pamini Paolo,Pieren Nadja,Riner Christoph,Rüegger Monika,Rüegsegger Hans Jörg,Rutz Gregor,Schmid Pascal,Schnyder Markus,Steinemann Barbara,Stettler Thomas,Strupler Manuel,Tuena Mauro,Vontobel Erich,Walliser Bruno,Wandfluh Ernst,Wyssmann Rémy,NA,NA,NA,341,341,261,271,466,448,432,473,376,458,360,441,285,391,343,116,394,287,425,451,477,289,452,479,250,298,299,481,482,NA,454,379,485,182,488,489,306,491,387,307,496,309,453,NA,NA,NA,NA,
24.4096,Postulat,Nicolet Jacques,Stellungnahme zum Vorstoss liegt vor,"Den Mehrwert regionaler Produkte für die landwirtschaftliche Produktion, die Verarbeitung und den Handel messen",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244096,2024-09-26,Nicolet Jacques,Addor Jean-Luc,Amaudruz Céline,Bläsi Thomas,Buffat Michaël,Calame Didier,Freymond Sylvain,Gobet Nadine,Golay Roger,Haab Martin,Hübscher Martin,Kolly Nicolas,Page Pierre-André,Pahud Yvan,Roduit Benjamin,Ruch Daniel,Sormanni Daniel,Stettler Thomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,298,261,44,NA,270,468,473,475,100,343,451,479,299,481,331,436,490,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3673,Postulat,Haab Martin,Überwiesen an den Bundesrat,Richtpreise repräsentieren nicht die effektiv bezahlten Preise ab Hof,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243673,2024-06-13,Haab Martin,Badertscher Christine,Gafner Andreas,Huber Alois,Knutti Thomas,Michaud Gigon Sophie,Riem Katja,Ritter Markus,Stettler Thomas,Wandfluh Ernst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,343,355,376,425,452,367,444,178,491,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3327,Postulat,Candan Hasan,Erledigt,"Landwirtschaftliche Nahrungsmittelproduktion. Wer bezahlt, wer profitiert?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243327,2024-03-15,Candan Hasan,Alijaj Islam,Amoos Emmanuel,Andrey Gerhard,Baumann Kilian,Bendahan Samuel,Candan Hasan,Clivaz Christophe,Crottaz Brigitte,Fehlmann Rielle Laurence,Freymond Sylvain,Friedl Claudia,Giacometti Anna,Grossen Jürg,Haab Martin,Hässig Patrick,Jauslin Matthias Samuel,Jost Marc,Marti Min Li,Meier Andreas,Munz Martina,Nordmann Roger,Roth David,Rumy Farah,Schaffner Barbara,Schlatter Marionna,Seiler Graf Priska,Stettler Thomas,Storni Bruno,Tschopp Jean,Weichelt Manuela,Zryd Andrea,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,449,443,428,371,358,323,449,383,330,280,473,89,374,106,343,476,314,437,293,439,NA,NA,484,486,418,349,304,491,420,459,386,498,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23.4510,Interpellation,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,"Wo steht der Bund beim ""Solar-Express""?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234510,2023-12-22,Clivaz Christophe,Klopfenstein Broggini Delphine,Munz Martina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23.4505,Interpellation,Ryser Franziska,Stellungnahme zum Vorstoss liegt vor,Mit Sonnenschutz die Energiewende unterstützen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234505,2023-12-22,Ryser Franziska,Grossen Jürg,Schilliger Peter,Suter Gabriela,Töngi Michael,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,346,106,185,370,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4693,Interpellation,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,"Mit welchen neuen Vergütungsmodellen wird sichergestellt, dass der Aufschwung der Fotovoltaik anhält?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244693,2024-12-20,Clivaz Christophe,Schlatter Marionna,Trede Aline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,349,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4687,Interpellation,Grossen Jürg,Stellungnahme zum Vorstoss liegt vor,Exorbitant steigende Kosten für Ausgleichsenergie. Was tut der Bundesrat dagegen?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244687,2024-12-20,Grossen Jürg,Candan Hasan,Christ Katja,de Quattro Jacqueline,Dobler Marcel,Flach Beat,Grüter Franz,Hübscher Martin,Jauslin Matthias Samuel,Jost Marc,Müller-Altermatt Stefan,Nussbaumer Eric,Roduit Benjamin,Rüegsegger Hans Jörg,Schaffner Barbara,Suter Gabriela,Trede Aline,Wandfluh Ernst,Weber Céline,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,106,449,369,392,278,83,285,451,314,437,153,161,331,485,418,370,198,453,431,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4646,Interpellation,Schaffner Barbara,Stellungnahme zum Vorstoss liegt vor,Energieeffizienz in der Industrie,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244646,2024-12-20,Schaffner Barbara,Bäumle Martin,Christ Katja,Clivaz Christophe,de Quattro Jacqueline,Flach Beat,Grossen Jürg,Jauslin Matthias Samuel,Mettler Melanie,Weber Céline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,418,51,369,383,392,83,106,314,NA,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4603,Interpellation,Nause Reto,Stellungnahme zum Vorstoss liegt vor,Zulassung eines Klein-Test-Atomreaktors und künftiger Umgang,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244603,2024-12-20,Nause Reto,Jost Marc,Mettler Melanie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,446,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4593,Interpellation,Weber Céline,Stellungnahme zum Vorstoss liegt vor,Den einzelnen Menschen in der Energiewende berücksichtigen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244593,2024-12-20,Weber Céline,Grossen Jürg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,431,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4573,Interpellation,Jauslin Matthias Samuel,Stellungnahme zum Vorstoss liegt vor,Warum nützt der Bundesrat das Einsparpotenzial im Energiebereich nicht aus?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244573,2024-12-20,Jauslin Matthias Samuel,Baumann Kilian,de Quattro Jacqueline,Flach Beat,Giacometti Anna,Grossen Jürg,Masshardt Nadine,Müller-Altermatt Stefan,Ryser Franziska,Schaffner Barbara,von Falkenstein Patricia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,314,358,392,83,374,106,144,153,346,418,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4509,Interpellation,Brenzikofer Florence,Stellungnahme zum Vorstoss liegt vor,Beznau 1 und 2,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244509,2024-12-19,Brenzikofer Florence,Baumann Kilian,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Kälin Irène,Klopfenstein Broggini Delphine,Mettler Melanie,Porchet Léonore,Prelicz-Huber Katharina,Schlatter Marionna,Töngi Michael,Walder Nicolas,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,424,358,383,395,98,329,403,NA,410,411,349,334,422,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4406,Interpellation,Tuosto Brenda,Stellungnahme zum Vorstoss liegt vor,Recycling von Elektro- und Elektronikgeräten. Hin zu einem wirksameren Rechtsrahmen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244406,2024-12-18,Tuosto Brenda,Candan Hasan,Clivaz Christophe,Crottaz Brigitte,de Quattro Jacqueline,Docourt Martine,Fivaz Fabien,Pahud Yvan,Trede Aline,Tschopp Jean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,494,449,383,330,392,NA,395,481,198,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4228,Interpellation,Schaffner Barbara,Erledigt,Wie gross ist das Potenzial von saisonalen Wärmespeichern?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244228,2024-09-27,Schaffner Barbara,Bäumle Martin,Flach Beat,Grossen Jürg,Mettler Melanie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,418,51,83,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4174,Interpellation,Mahaim Raphaël,Stellungnahme zum Vorstoss liegt vor,Kosten des Rückbaus von Kernkraftwerken und der Lagerung der radioaktiven Abfälle,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244174,2024-09-27,Mahaim Raphaël,Arslan Sibel,Brenzikofer Florence,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Porchet Léonore,Prelicz-Huber Katharina,Schlatter Marionna,Töngi Michael,Walder Nicolas,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,433,264,424,383,395,98,410,411,349,334,422,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4168,Interpellation,Wettstein Felix,Stellungnahme zum Vorstoss liegt vor,Zukunftsgerichtete Organisation der Regulierungsbehörden,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244168,2024-09-26,Wettstein Felix,Kälin Irène,Müller-Altermatt Stefan,Weichelt Manuela,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,354,329,153,386,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4148,Interpellation,Walder Nicolas,Stellungnahme zum Vorstoss liegt vor,"Will der Bundesrat unsere Abhängigkeit von Russland und China erhöhen, indem er die Tür für neue Kernkraftwerke in der Schweiz wieder öffnet?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244148,2024-09-26,Walder Nicolas,Arslan Sibel,Brenzikofer Florence,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Klopfenstein Broggini Delphine,Mahaim Raphaël,Porchet Léonore,Prelicz-Huber Katharina,Schlatter Marionna,Töngi Michael,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,422,264,424,383,395,98,403,433,410,411,349,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4126,Interpellation,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,"Wie steht es mit der Lagerung der Abfälle, wenn neue Kernkraftwerke gebaut werden?",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244126,2024-09-26,Clivaz Christophe,Arslan Sibel,Brenzikofer Florence,Fivaz Fabien,Glättli Balthasar,Gysin Greta,Klopfenstein Broggini Delphine,Mahaim Raphaël,Porchet Léonore,Prelicz-Huber Katharina,Schlatter Marionna,Töngi Michael,Walder Nicolas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,264,424,395,98,396,403,433,410,411,349,334,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4105,Interpellation,Wismer-Felder Priska,Erledigt,Wie kann der Umbau des Gebäudeparks erreicht werden?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244105,2024-09-26,Wismer-Felder Priska,de Quattro Jacqueline,Schaffner Barbara,Suter Gabriela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,363,392,418,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4089,Interpellation,Friedl Claudia,Stellungnahme zum Vorstoss liegt vor,Was steckt hinter den geänderten Geschäftspraktiken der Schweizerischen Exportrisikoversicherung?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244089,2024-09-26,Friedl Claudia,Alijaj Islam,Arslan Sibel,Bendahan Samuel,Candan Hasan,Clivaz Christophe,Fehlmann Rielle Laurence,Fivaz Fabien,Flach Beat,Glättli Balthasar,Gugger Niklaus-Samuel,Mahaim Raphaël,Marti Min Li,Müller-Altermatt Stefan,Nordmann Roger,Prelicz-Huber Katharina,Pult Jon,Seiler Graf Priska,Töngi Michael,Walder Nicolas,Weichelt Manuela,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,89,443,264,323,449,383,280,395,83,98,327,433,293,153,NA,411,378,304,334,422,386,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4061,Interpellation,Schlatter Marionna,Erledigt,Die Hälfte des Schweizer Atomstroms wird mit russischem Uran produziert. Wann ist Schluss damit?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244061,2024-09-26,Schlatter Marionna,Clivaz Christophe,Klopfenstein Broggini Delphine,Mahaim Raphaël,Töngi Michael,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,349,383,403,433,334,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
