Geschäftsnummer,Geschäftstyp,Urheber,Stand,Geschäftstitel,Link zur Geschäftsseite,eingereicht_am,unterzeichner1,unterzeichner2,unterzeichner3,unterzeichner4,unterzeichner5,unterzeichner6,unterzeichner7,unterzeichner8,unterzeichner9,unterzeichner10,unterzeichner11,unterzeichner12,unterzeichner13,unterzeichner14,unterzeichner15,unterzeichner16,unterzeichner17,unterzeichner18,unterzeichner19,unterzeichner20,unterzeichner21,unterzeichner22,unterzeichner23,unterzeichner24,unterzeichner25,unterzeichner26,unterzeichner27,unterzeichner28,unterzeichner29,unterzeichner30,unterzeichner31,unterzeichner32,unterzeichner33,unterzeichner34,unterzeichner35,unterzeichner36,unterzeichner37,unterzeichner38,unterzeichner39,unterzeichner40,unterzeichner41,unterzeichner42,unterzeichner43,unterzeichner44,unterzeichner45,unterzeichner46,id_Urheber,id_unterzeichner1,id_unterzeichner2,id_unterzeichner3,id_unterzeichner4,id_unterzeichner5,id_unterzeichner6,id_unterzeichner7,id_unterzeichner8,id_unterzeichner9,id_unterzeichner10,id_unterzeichner11,id_unterzeichner12,id_unterzeichner13,id_unterzeichner14,id_unterzeichner15,id_unterzeichner16,id_unterzeichner17,id_unterzeichner18,id_unterzeichner19,id_unterzeichner20,id_unterzeichner21,id_unterzeichner22,id_unterzeichner23,id_unterzeichner24,id_unterzeichner25,id_unterzeichner26,id_unterzeichner27,id_unterzeichner28,id_unterzeichner29,id_unterzeichner30,id_unterzeichner31,id_unterzeichner32,id_unterzeichner33,id_unterzeichner34,id_unterzeichner35,id_unterzeichner36,id_unterzeichner37,id_unterzeichner38,id_unterzeichner39,id_unterzeichner40,id_unterzeichner41,id_unterzeichner42,id_unterzeichner43,id_unterzeichner44,id_unterzeichner45,id_unterzeichner46,unterzeichner_ids
24.4486,Postulat,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,Nationale Strategie für den Freizeit- und Tourismusverkehr,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244486,2024-12-19,Clivaz Christophe,Addor Jean-Luc,Amoos Emmanuel,Brenzikofer Florence,Calame Didier,Candinas Martin,de Quattro Jacqueline,Farinelli Alex,Flach Beat,Giacometti Anna,Gobet Nadine,Jauslin Matthias Samuel,Kamerzin Sidney,Klopfenstein Broggini Delphine,Maitre Vincent,Nantermod Philippe,Paganini Nicolò,Pahud Yvan,Pult Jon,Roduit Benjamin,Roth Pasquier Marie-France,Schaffner Barbara,Schlatter Marionna,Stadler Simon,Töngi Michael,Trede Aline,Tschopp Jean,Tuosto Brenda,Weber Céline,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,261,428,424,468,65,392,393,83,374,475,314,399,403,404,297,333,481,378,331,417,418,349,419,334,198,459,494,431,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4378,Postulat,Weber Céline,Überwiesen an den Bundesrat,"Verpackungen. Rahmenbedingungen schaffen, die die Wiederverwendung fördern",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244378,2024-12-17,Weber Céline,Hess Erich,Addor Jean-Luc,Alijaj Islam,Badertscher Christine,Bläsi Thomas,Candan Hasan,Christ Katja,de Quattro Jacqueline,Docourt Martine,Fehr Düsel Nina,Feller Olivier,Fivaz Fabien,Flach Beat,Freymond Sylvain,Giacometti Anna,Hässig Patrick,Kälin Irène,Kamerzin Sidney,Marchesi Piero,Meier Andreas,Pahud Yvan,Porchet Léonore,Revaz Estelle,Roduit Benjamin,Roth Pasquier Marie-France,Schaffner Barbara,Tuosto Brenda,Walder Nicolas,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,431,287,261,443,355,NA,449,369,392,NA,448,79,395,83,473,374,476,329,399,405,439,481,410,NA,331,417,418,494,422,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4250,Postulat,Hübscher Martin,Überwiesen an den Bundesrat,Aktualisierung des Sachplans Fruchtfolgeflächen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244250,2024-09-27,Hübscher Martin,Bregy Philipp Matthias,Gafner Andreas,Gartmann Walter,Haab Martin,Knutti Thomas,Kolly Nicolas,Müller Leo,Nicolet Jacques,Ritter Markus,Rüegsegger Hans Jörg,Thalmann-Bieri Vroni,Vontobel Erich,Wandfluh Ernst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,451,340,376,458,343,452,479,149,298,178,485,NA,496,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4247,Postulat,Vincenz-Stauffacher Susanne,Stellungnahme zum Vorstoss liegt vor,Agri-PV-Anlagen als Teil eines beschleunigten Ausbaus nachhaltiger Energiekonzepte,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244247,2024-09-27,Vincenz-Stauffacher Susanne,Bäumle Martin,Müller-Altermatt Stefan,Nordmann Roger,Pult Jon,Suter Gabriela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,361,51,153,NA,378,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4244,Postulat,Töngi Michael,Überwiesen an den Bundesrat,Grundlagen für eine nachhaltige Mobilität mit automatisiertem Fahren schaffen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244244,2024-09-27,Töngi Michael,Klopfenstein Broggini Delphine,Marti Min Li,Pult Jon,Roth David,Schaffner Barbara,Schlatter Marionna,Tuosto Brenda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,334,403,293,378,484,418,349,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4163,Postulat,Clivaz Christophe,Stellungnahme zum Vorstoss liegt vor,Reversibilität des Projekts eines Tiefenlagers von Atomabfall gewährleisten,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244163,2024-09-26,Clivaz Christophe,Amoos Emmanuel,Arslan Sibel,Badertscher Christine,Baumann Kilian,Brenzikofer Florence,Candan Hasan,Crottaz Brigitte,Fivaz Fabien,Glättli Balthasar,Gysin Greta,Klopfenstein Broggini Delphine,Nordmann Roger,Porchet Léonore,Schlatter Marionna,Walder Nicolas,Weichelt Manuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,383,428,264,355,358,424,449,330,395,98,396,403,NA,410,349,422,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4132,Postulat,Weichelt Manuela,Stellungnahme zum Vorstoss liegt vor,Risikomanagement des Bundes,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244132,2024-09-26,Weichelt Manuela,Arslan Sibel,Baumann Kilian,Brenzikofer Florence,Candan Hasan,Clivaz Christophe,Fivaz Fabien,Glättli Balthasar,Klopfenstein Broggini Delphine,Mettler Melanie,Porchet Léonore,Prelicz-Huber Katharina,Schlatter Marionna,Töngi Michael,Walder Nicolas,Wettstein Felix,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,386,264,358,424,449,383,395,98,403,NA,410,411,349,334,422,354,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3797,Postulat,Klopfenstein Broggini Delphine,Stellungnahme zum Vorstoss liegt vor,Internationale Bahnlinien in Reichweite der Schweiz,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243797,2024-06-14,Klopfenstein Broggini Delphine,Brenzikofer Florence,Cottier Damien,Roth David,Schlatter Marionna,Töngi Michael,Tuosto Brenda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,403,424,388,484,349,334,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3757,Postulat,Vincenz-Stauffacher Susanne,Stellungnahme zum Vorstoss liegt vor,Klimataugliche Lieferkette dank Product Carbon Footprint,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243757,2024-06-14,Vincenz-Stauffacher Susanne,Bäumle Martin,de Montmollin Simone,Jauslin Matthias Samuel,Masshardt Nadine,Trede Aline,Wismer-Felder Priska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,361,51,390,314,144,198,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.3660,Postulat,Hurni Baptiste,Erledigt,"Asbest bei berufsbedingten Krebserkrankungen als Ursache in Betracht ziehen, erkennen und besser diagnostizieren",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243660,2024-06-13,Hurni Baptiste,Hegglin Peter,Ettlin Erich,Maillard Pierre-Yves,Maret Marianne,Poggia Mauro,Wasserfallen Flavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,316,NA,406,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
