"url","eingereicht_am","mitunterzeichner"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244378","17.12.2024","Weber Céline, Hess Erich, Addor Jean-Luc, Alijaj Islam, Badertscher Christine, Bläsi Thomas, Candan Hasan, Christ Katja, de Quattro Jacqueline, Docourt Martine, Fehr Düsel Nina, Feller Olivier, Fivaz Fabien, Flach Beat, Freymond Sylvain, Giacometti Anna, Hässig Patrick, Kälin Irène, Kamerzin Sidney, Marchesi Piero, Meier Andreas, Pahud Yvan, Porchet Léonore, Revaz Estelle, Roduit Benjamin, Roth Pasquier Marie-France, Schaffner Barbara, Tuosto Brenda, Walder Nicolas, Weichelt Manuela"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244357","12.12.2024","Vara Céline"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244344","12.12.2024","Vara Céline"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244300","05.12.2024","Farinelli Alex"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244267","ngIf: businessRole.Committees.CommitteeName Aussenpolitische Kommission Nationalrat end ngIf: businessRole.Committees.CommitteeName","Aussenpolitische Kommission Nationalrat, Gugger Niklaus-Samuel, Walder Nicolas"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244264","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244262","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244250","27.09.2024","Hübscher Martin, Bregy Philipp Matthias, Gafner Andreas, Gartmann Walter, Haab Martin, Knutti Thomas, Kolly Nicolas, Müller Leo, Nicolet Jacques, Ritter Markus, Rüegsegger Hans Jörg, Thalmann-Bieri Vroni, Vontobel Erich, Wandfluh Ernst"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244247","27.09.2024","Vincenz-Stauffacher Susanne, Bäumle Martin, Müller-Altermatt Stefan, Nordmann Roger, Pult Jon, Suter Gabriela"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244244","27.09.2024","Töngi Michael, Klopfenstein Broggini Delphine, Marti Min Li, Pult Jon, Roth David, Schaffner Barbara, Schlatter Marionna, Tuosto Brenda"
